#Strain,Isolate,Location,Assembly,Collection date,Isolation type,Host,AMR genotypes,AST phenotypes
,PDT001231500.1,USA,GCA_021687695.1,01/10/2021,clinical,Homo sapiens,"aadA11=COMPLETE,aadA1=COMPLETE,aadA2=COMPLETE,ant(2'')-Ia=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-VI=COMPLETE,blaOXA-395=COMPLETE,blaOXA-675=COMPLETE,blaOXA=COMPLETE,blaPDC-16=COMPLETE,blaVIM=COMPLETE,catB7=COMPLETE,dfrA1=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,qnrVC1=COMPLETE,sul1=COMPLETE",
,PDT001231768.1,USA,GCA_021691215.1,2021,clinical,Homo sapiens,"aadA11=COMPLETE,aadA1=COMPLETE,aadA2=COMPLETE,ant(2'')-Ia=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-VI=COMPLETE,aph(3')-VI=PARTIAL_END_OF_CONTIG,blaOXA-395=COMPLETE,blaOXA-675=COMPLETE,blaPDC-16=COMPLETE,blaVIM=COMPLETE,catB7=COMPLETE,dfrA1=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,qnrVC1=COMPLETE,sul1=COMPLETE",
Pseudomonas_aeruginosa_2021CK-01151,PDT001094437.1,USA,GCA_021645865.1,24/06/2021,clinical,Homo sapiens,"aac(6')-Ib-cr5=COMPLETE,aac(6')-Ib=COMPLETE,aadA6=COMPLETE,aph(3')-IIb=COMPLETE,arr-3=COMPLETE,blaIMP-13=COMPLETE,blaOXA-1=COMPLETE,blaOXA-2=COMPLETE,blaOXA-488=COMPLETE,blaPDC-35=COMPLETE,catB3=COMPLETE,catB7=COMPLETE,dfrA5=COMPLETE,fosA=COMPLETE,gyrA_D87N=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,mph(E)=COMPLETE,msr(E)=COMPLETE,sul1=COMPLETE",
Pseudomonas_aeruginosa_2020CK-00219,PDT000821518.1,USA,GCA_021669355.1,30/07/2017,clinical,Homo sapiens,"aac(6')-33=COMPLETE,aac(6')-Ib4=COMPLETE,aadA1=COMPLETE,aph(3')-IIb=COMPLETE,blaGES-19=COMPLETE,blaGES-20=COMPLETE,blaGES=PARTIAL_END_OF_CONTIG,blaOXA-1035=COMPLETE,blaOXA-2=COMPLETE,blaPDC-19a=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE",
Pseudomonas_aeruginosa_2020CK-00196,PDT000821543.1,USA,GCA_021669335.1,26/03/2020,clinical,Homo sapiens,"aac(6')-33=COMPLETE,aac(6')-Ib4=COMPLETE,aadA1=COMPLETE,aph(3')-IIb=COMPLETE,blaGES-19=COMPLETE,blaGES-20=COMPLETE,blaOXA-1035=COMPLETE,blaOXA-2=COMPLETE,blaPDC-19a=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE",
Pseudomonas_aeruginosa_2020CK-00195,PDT000821544.1,USA,GCA_021669275.1,16/04/2020,clinical,Homo sapiens,"aac(6')-33=COMPLETE,aac(6')-Ib4=COMPLETE,aadA1=COMPLETE,aph(3')-IIb=COMPLETE,blaGES-20=COMPLETE,blaGES=COMPLETE,blaGES=PARTIAL_END_OF_CONTIG,blaOXA-1035=COMPLETE,blaOXA-2=COMPLETE,blaPDC-19a=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE",
Pseudomonas_aeruginosa_2020CK-00194,PDT000821545.1,USA,GCA_021669535.1,02/04/2020,clinical,Homo sapiens,"aac(6')-33=COMPLETE,aac(6')-Ib4=COMPLETE,aadA1=COMPLETE,aph(3')-IIb=COMPLETE,blaGES-19=COMPLETE,blaGES-20=COMPLETE,blaGES=PARTIAL_END_OF_CONTIG,blaOXA-1035=COMPLETE,blaOXA-2=COMPLETE,blaPDC-19a=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE",
,PDT000903063.1,USA,GCA_021665635.1,2020,clinical,Homo sapiens,"aac(6')-33=COMPLETE,aac(6')-Ib4=COMPLETE,aadA1=COMPLETE,aph(3')-IIb=COMPLETE,blaGES-19=COMPLETE,blaGES-20=COMPLETE,blaGES=PARTIAL_END_OF_CONTIG,blaOXA-1035=COMPLETE,blaOXA-2=COMPLETE,blaPDC-19a=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE",
,PDT001071580.1,USA,GCA_021661095.1,20/11/2020,clinical,Homo sapiens,"aac(6')-33=COMPLETE,aac(6')-Ib4=COMPLETE,aadA1=COMPLETE,aph(3')-IIb=COMPLETE,blaGES-19=COMPLETE,blaGES-20=COMPLETE,blaOXA-1035=COMPLETE,blaOXA-2=COMPLETE,blaPDC-19a=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE",
,PDT001105022.1,USA,GCA_021645785.1,12/05/2021,clinical,Homo sapiens,"aac(6')-33=COMPLETE,aac(6')-Ib4=COMPLETE,aadA1=COMPLETE,aph(3')-IIb=COMPLETE,blaGES-19=COMPLETE,blaGES-20=COMPLETE,blaOXA-1035=COMPLETE,blaOXA-2=COMPLETE,blaPDC-19a=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE",
,PDT001293709.1,USA,GCA_023114055.1,22/10/2021,clinical,Homo sapiens,"aac(6')-33=COMPLETE,aac(6')-Ib4=COMPLETE,aadA1=COMPLETE,aph(3')-IIb=COMPLETE,blaGES-19=COMPLETE,blaGES-20=COMPLETE,blaGES=PARTIAL_END_OF_CONTIG,blaOXA-1035=COMPLETE,blaOXA-2=COMPLETE,blaPDC-19a=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE",
NCGM3332,PDT001211436.1,Japan:Tokyo,GCA_021594825.1,2016,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aadA6=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-XV=COMPLETE,blaGES-5=COMPLETE,blaOXA-488=COMPLETE,blaPDC-35=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,floR2=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,mexX=PARTIAL_END_OF_CONTIG,parC_S87L=POINT,sul1=COMPLETE,sul1=PARTIAL_END_OF_CONTIG,tet(G)=COMPLETE",
NCGM3353,PDT001211437.1,Japan:Tokyo,GCA_021594775.1,2016,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aac(6')-Ib=PARTIAL_END_OF_CONTIG,aadA6=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-XV=COMPLETE,blaGES-5=COMPLETE,blaOXA-488=COMPLETE,blaPDC-35=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,floR2=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,mexX=PARTIAL_END_OF_CONTIG,parC_S87L=POINT,sul1=COMPLETE,sul1=PARTIAL_END_OF_CONTIG,tet(G)=COMPLETE",
NCGM3359,PDT001211439.1,Japan:Tokyo,GCA_021594725.1,2016,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aadA6=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-XV=COMPLETE,blaGES-5=COMPLETE,blaOXA-488=COMPLETE,blaPDC-35=COMPLETE,catB7=COMPLETE,catB7=PARTIAL,crpP=COMPLETE,floR2=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=PARTIAL_END_OF_CONTIG,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE,sul1=PARTIAL_END_OF_CONTIG,tet(G)=COMPLETE",
NCGM3374,PDT001211441.1,Japan:Tokyo,GCA_021594765.1,2016,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aadA6=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-XV=COMPLETE,blaGES-5=COMPLETE,blaOXA-488=COMPLETE,blaPDC-35=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,floR2=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE,sul1=PARTIAL_END_OF_CONTIG,tet(G)=COMPLETE",
NCGM3396,PDT001211446.1,Japan:Tokyo,GCA_021594625.1,2016,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aadA6=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-XV=COMPLETE,blaGES-5=COMPLETE,blaOXA-488=COMPLETE,blaPDC-35=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,floR2=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE,sul1=PARTIAL_END_OF_CONTIG,tet(G)=COMPLETE",
NCGM3399,PDT001211448.1,Japan:Tokyo,GCA_021594585.1,2016,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aadA6=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-XV=COMPLETE,blaGES-5=COMPLETE,blaOXA-488=COMPLETE,blaPDC-35=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,floR2=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,mexX=PARTIAL_END_OF_CONTIG,parC_S87L=POINT,sul1=COMPLETE,sul1=PARTIAL_END_OF_CONTIG,tet(G)=COMPLETE",
NCGM3400,PDT001211449.1,Japan:Tokyo,GCA_021594565.1,2016,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aadA6=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-XV=COMPLETE,blaGES-5=COMPLETE,blaOXA-488=COMPLETE,blaPDC-35=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,floR2=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,mexX=PARTIAL_END_OF_CONTIG,parC_S87L=POINT,sul1=COMPLETE,sul1=PARTIAL_END_OF_CONTIG,tet(G)=COMPLETE",
NCGM3427,PDT001211453.1,Japan:Tokyo,GCA_021594485.1,2016,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aadA6=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-XV=COMPLETE,blaGES-5=COMPLETE,blaOXA-488=COMPLETE,blaPDC-35=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,crpP=PARTIAL_END_OF_CONTIG,floR2=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE,sul1=PARTIAL_END_OF_CONTIG,tet(G)=COMPLETE",
NCGM3481,PDT001211457.1,Japan:Tokyo,GCA_021594405.1,2016,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aadA6=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-XV=COMPLETE,blaGES-5=COMPLETE,blaOXA-488=COMPLETE,blaPDC-35=COMPLETE,blaPDC=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,floR2=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE,sul1=PARTIAL_END_OF_CONTIG,tet(G)=COMPLETE",
NCGM3489,PDT001211458.1,Japan:Tokyo,GCA_021594385.1,2016,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aadA6=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-XV=COMPLETE,blaGES-5=COMPLETE,blaOXA-488=COMPLETE,blaPDC-35=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,floR2=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,mexX=PARTIAL_END_OF_CONTIG,parC_S87L=POINT,sul1=COMPLETE,sul1=PARTIAL_END_OF_CONTIG,tet(G)=COMPLETE",
NCGM3497,PDT001211459.1,Japan:Tokyo,GCA_021594365.1,2016,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aac(6')-Ib=PARTIAL_END_OF_CONTIG,aadA6=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-XV=COMPLETE,blaGES-5=COMPLETE,blaOXA-488=COMPLETE,blaPDC-35=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,floR2=COMPLETE,floR2=PARTIAL_END_OF_CONTIG,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE,tet(G)=COMPLETE",
NCGM3498,PDT001211460.1,Japan:Tokyo,GCA_021594305.1,2016,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aadA6=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-XV=COMPLETE,blaGES-5=COMPLETE,blaOXA-488=COMPLETE,blaPDC-35=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,floR2=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,mexX=PARTIAL_END_OF_CONTIG,parC_S87L=POINT,sul1=COMPLETE,sul1=PARTIAL_END_OF_CONTIG,tet(G)=COMPLETE",
NCGM3505,PDT001211462.1,Japan:Tokyo,GCA_021594325.1,2016,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aadA6=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-XV=COMPLETE,aph(3')-XV=PARTIAL_END_OF_CONTIG,blaGES-5=COMPLETE,blaGES=PARTIAL_END_OF_CONTIG,blaOXA-488=COMPLETE,blaPDC-35=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,floR2=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,mexX=PARTIAL_END_OF_CONTIG,parC_S87L=POINT,sul1=COMPLETE,sul1=PARTIAL_END_OF_CONTIG,tet(G)=COMPLETE",
NCGM3509,PDT001211463.1,Japan:Tokyo,GCA_021594285.1,2016,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aadA6=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-XV=COMPLETE,blaGES-5=COMPLETE,blaOXA-488=COMPLETE,blaPDC-35=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,floR2=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,mexX=PARTIAL_END_OF_CONTIG,parC_S87L=POINT,sul1=COMPLETE,sul1=PARTIAL_END_OF_CONTIG,tet(G)=COMPLETE",
NCGM3511,PDT001211465.1,Japan:Tokyo,GCA_021594245.1,2016,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aadA6=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-XV=COMPLETE,blaGES-5=COMPLETE,blaOXA-488=COMPLETE,blaPDC-35=COMPLETE,blaPDC=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,floR2=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,mexX=PARTIAL_END_OF_CONTIG,parC_S87L=POINT,sul1=COMPLETE,sul1=PARTIAL_END_OF_CONTIG,tet(G)=COMPLETE",
NCGM3514,PDT001211466.1,Japan:Tokyo,GCA_021594265.1,2016,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aadA6=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-XV=COMPLETE,blaGES-5=COMPLETE,blaOXA-488=COMPLETE,blaPDC-35=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,floR2=COMPLETE,floR2=PARTIAL_END_OF_CONTIG,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE,sul1=PARTIAL_END_OF_CONTIG,tet(G)=COMPLETE,tet(G)=PARTIAL_END_OF_CONTIG",
NCGM3536,PDT001211468.1,Japan:Tokyo,GCA_021594205.1,2016,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aadA6=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-XV=COMPLETE,blaGES-5=COMPLETE,blaOXA-488=COMPLETE,blaPDC-35=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,floR2=COMPLETE,floR2=PARTIAL_END_OF_CONTIG,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE,sul1=PARTIAL,tet(G)=COMPLETE",
NCGM3537,PDT001211469.1,Japan:Tokyo,GCA_021594165.1,2016,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aadA6=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-XV=COMPLETE,blaGES-5=COMPLETE,blaOXA-488=COMPLETE,blaPDC-35=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,floR2=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,mexX=PARTIAL_END_OF_CONTIG,parC_S87L=POINT,sul1=COMPLETE,sul1=PARTIAL_END_OF_CONTIG,tet(G)=COMPLETE",
NCGM3542,PDT001211470.1,Japan:Tokyo,GCA_021594145.1,2016,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aadA6=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-XV=COMPLETE,blaGES-5=COMPLETE,blaOXA-488=COMPLETE,blaPDC-35=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,floR2=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,mexX=PARTIAL_END_OF_CONTIG,parC_S87L=POINT,sul1=COMPLETE,sul1=PARTIAL_END_OF_CONTIG,tet(G)=COMPLETE",
NCGM3556,PDT001211474.1,Japan:Tokyo,GCA_021594085.1,2016,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aadA6=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-XV=COMPLETE,blaGES-5=COMPLETE,blaOXA-488=COMPLETE,blaPDC-35=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,floR2=COMPLETE,floR2=PARTIAL_END_OF_CONTIG,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE,sul1=PARTIAL_END_OF_CONTIG,tet(G)=COMPLETE,tet(G)=PARTIAL_END_OF_CONTIG",
NCGM3603,PDT001211478.1,Japan:Tokyo,GCA_021594005.1,2016,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aadA6=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-XV=COMPLETE,aph(3')-XV=PARTIAL_END_OF_CONTIG,blaGES-5=COMPLETE,blaGES=PARTIAL_END_OF_CONTIG,blaOXA-488=COMPLETE,blaPDC-35=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,floR2=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE,sul1=PARTIAL_END_OF_CONTIG,tet(G)=COMPLETE",
MyJU69,PDT000771074.1,Myanmar:Yangon,GCA_021674615.1,2016,clinical,Homo sapiens,"aac(3)-Id=COMPLETE,aac(3)-Id=PARTIAL_END_OF_CONTIG,aac(6')-Il=COMPLETE,aadA2=COMPLETE,aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaOXA=PARTIAL_END_OF_CONTIG,blaPDC-3=COMPLETE,blaVIM-2=COMPLETE,catB7=COMPLETE,cmlA6=COMPLETE,cmlA=PARTIAL_END_OF_CONTIG,dfrB5=COMPLETE,floR2=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE,tet(G)=COMPLETE",
Pseudomonas_aeruginosa_2021CK-01106,PDT001079862.1,USA,GCA_021660855.1,11/06/2021,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aac(6')-Il=COMPLETE,aadA6=COMPLETE,aph(3')-IIb=COMPLETE,blaGES-1=COMPLETE,blaOXA-2=COMPLETE,blaOXA-488=COMPLETE,blaPDC-19a=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,crpP=PARTIAL,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE",
Pseudomonas_aeruginosa_2021CK-01425,PDT001143358.1,USA,GCA_021644325.1,10/09/2021,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aac(6')-Il=COMPLETE,aadA6=COMPLETE,aph(3')-IIb=COMPLETE,blaGES-1=COMPLETE,blaOXA-2=COMPLETE,blaOXA-488=COMPLETE,blaPDC-19a=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,crpP=PARTIAL,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE",
Pseudomonas_aeruginosa_2021CK-01391,PDT001159264.1,USA,GCA_021643185.1,01/09/2021,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aac(6')-Il=COMPLETE,aadA6=COMPLETE,aph(3')-IIb=COMPLETE,blaGES-1=COMPLETE,blaOXA-2=COMPLETE,blaOXA-488=COMPLETE,blaPDC-19a=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,crpP=PARTIAL,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE",
NCGM3004,PDT000771283.1,Viet Nam:Hanoi,GCA_021672635.1,2014,clinical,Homo sapiens,"aac(3)-IId=COMPLETE,aadA11=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-VIb=COMPLETE,aph(6)-Id=COMPLETE,aph(6)-Id=PARTIAL_END_OF_CONTIG,blaOXA-846=COMPLETE,blaPDC-11=COMPLETE,blaPER-1=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,qnrVC1=COMPLETE,sul1=COMPLETE,tmexC3=COMPLETE,tmexD3=COMPLETE,toprJ1=COMPLETE,toprJ=COMPLETE",
AZPAE14720,PDT000045421.1,Colombia,GCA_000795955.1,2012,,,"aac(3)-I=HMM,aac(6')-29=COMPLETE,aac(6')-Il=COMPLETE,aadA6=COMPLETE,ant(2'')-Ia=COMPLETE,aph(3'')-Ib=PARTIAL_END_OF_CONTIG,aph(3')-IIb=COMPLETE,aph(6)-Id=COMPLETE,blaKPC-2=COMPLETE,blaOXA-2=COMPLETE,blaOXA-488=COMPLETE,blaPDC-35=COMPLETE,catB7=COMPLETE,cml=HMM,erm=HMM,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE,tet(C)=COMPLETE",
VNMU144,PDT000665260.1,Ukraine,GCA_009887625.1,21/11/2017,clinical,Homo sapiens,"aac(6')-Ib3=COMPLETE,ant(2'')-Ia=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-IIb=COMPLETE,aph(6)-Id=COMPLETE,blaIMP-1=COMPLETE,blaOXA-10=COMPLETE,blaOXA-488=COMPLETE,blaPDC-12=COMPLETE,catB7=COMPLETE,crpP=PARTIAL,dfrA1=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,qnrVC1=COMPLETE,sul1=COMPLETE",
VNMU143,PDT000665264.1,Ukraine,GCA_009887715.1,14/09/2017,clinical,Homo sapiens,"aac(6')-Ib3=COMPLETE,ant(2'')-Ia=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-IIb=COMPLETE,aph(6)-Id=COMPLETE,blaIMP-1=COMPLETE,blaOXA-10=COMPLETE,blaOXA-488=COMPLETE,blaPDC-12=COMPLETE,catB7=COMPLETE,crpP=PARTIAL,dfrA1=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,qnrVC1=COMPLETE,sul1=COMPLETE",
PA202,PDT000639779.1,India,GCA_009727285.1,2017,clinical,Homo sapiens,"aac(3)-IId=COMPLETE,aac(6')-Ib4=COMPLETE,aadA11=COMPLETE,aadA1=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-IIb=COMPLETE,aph(6)-Id=COMPLETE,blaLCR-1=COMPLETE,blaOXA-395=COMPLETE,blaPDC-36=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,floR2=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,qnrVC1=COMPLETE,sul1=COMPLETE,tet(G)=COMPLETE",
P4970C,PDT001186438.1,Sierra Leone: Freetown,GCA_020990465.1,2018,clinical,Homo sapiens,"aac(6')-Ib3=COMPLETE,aadA1=COMPLETE,aph(3')-IIb=COMPLETE,arr-2=COMPLETE,blaIMP-1=COMPLETE,blaOXA-10=COMPLETE,blaOXA-129=COMPLETE,blaOXA-486=COMPLETE,blaPDC-31=COMPLETE,catB7=COMPLETE,cmlA5=COMPLETE,crpP=PARTIAL,dfrB5=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,mph(A)=COMPLETE,parC_S87L=POINT,sul1=COMPLETE",
